Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Guinea,GIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,747.3634109,756.4255898,816.8470793,878.1792715,910.6526419,937.7031315,959.431973,972.7790298,994.4369972,1039.809828
Guinea-Bissau,GNB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,622.8278335,644.1790639,661.4893133,676.4736237,685.4629498,699.7683272,694.2786536,722.6192449,736.9322106,752.0674596
Guyana,GUY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5659.081803,5668.429765,5852.81165,6038.253388,6127.679107,6348.68368,9126.791425,10852.57475,17646.21592,23325.12242
Haiti,HTI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1406.412226,1405.714776,1411.143101,1426.633682,1430.818767,1387.514904,1324.283277,1284.477926,1247.892382,1210.034669
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2213.440507,2257.225284,2303.878504,2373.79156,2423.27606,2443.881718,2188.972462,2426.485744,2489.602336,2539.618593
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,41796.84392,42432.16197,43087.53832,44380.79384,45280.47389,44195.25234,41451.2864,44530.89383,43283.0159,43548.25383
Hungary,HUN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12233.29937,12717.0386,13035.35286,13628.40449,14377.42416,15083.59917,14437.80885,15521.38159,16345.31109,16286.75933
Iceland,ISL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,51233.24405,52951.68151,55513.6423,56501.45768,57697.80442,57493.41953,52641.72348,54452.09697,57816.36166,58393.17888
India,IND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1490.028508,1590.174331,1701.184238,1795.91185,1891.138435,1944.314848,1814.56157,1974.580602,2098.220931,2239.250363
Indonesia,IDN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3203.484287,3322.581679,3453.04943,3591.780028,3741.305267,3892.421662,3780.121634,3892.956,4073.55835,4247.853155
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5178.900707,4990.936795,5332.101032,5401.455937,5233.282054,5017.117215,5141.084776,5344.958025,5507.533395,5739.943951
Iraq,IRQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4333.82399,4416.942924,4903.823258,4702.400484,4710.976149,4854.386496,4170.392048,4138.077271,4357.865927,4136.19753
